Feature,Coefficient
bathrooms,1094444.7861005948
airconditioning,791426.735843187
hotwaterheating,684649.8853387919
prefarea,629890.5653133604
furnishingstatus_unfurnished,-413645.0622282219
stories,407476.5949849114
basement,390251.1761810935
mainroad,367919.9476795717
guestroom,231610.03717564943
parking,224841.9132766272
furnishingstatus_semi-furnished,-126881.81758510857
bedrooms,76778.70163437817
area,235.96880454139568
